file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/CourseAdapter.java,br.ufmg.engsoft.reprova.routes.CourseAdapter,transform/1[br.ufmg.engsoft.reprova.routes.Request],false,7,2,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/src/2022-02/auth-microservice/src/main/java/br/ufmg/engsoft/AuthModuleApplication.java,br.ufmg.engsoft.AuthModuleApplication,main/1[java.lang.String[]],false,9,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/command/DeleteCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.DeleteCourseCommand,DeleteCourseCommand/1[br.ufmg.engsoft.reprova.database.CourseDAO],true,15,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/routes/command/DeleteCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.DeleteCourseCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",false,19,5,2,0,2,1,2,5,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,add/1[br.ufmg.engsoft.reprova.model.Course],false,40,5,3,2,1,2,6,8,0,1,1,6,1,1,0,1,0,2,11,0,1,1,1,0,0,0,17,1,1,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,delete/1[br.ufmg.engsoft.reprova.model.Course],false,68,2,1,0,1,3,5,9,1,1,1,5,1,1,0,1,0,0,7,0,1,2,1,0,0,0,12,1,2,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,"CoarseGrainedCourseDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",true,26,2,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/src/2022-02/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,verifyAnd/1[br.ufmg.engsoft.reprova.model.Course],false,31,2,3,3,0,1,2,3,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,2,0,false
/src/2022-02/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,get/1[br.ufmg.engsoft.reprova.model.Course],false,56,5,4,1,3,2,8,7,1,1,1,8,1,1,0,1,0,0,5,0,1,0,1,0,0,0,14,1,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseCoarseGrainedTest.java,br.ufmg.engsoft.reprova.tests.model.CourseCoarseGrainedTest,getFactory/0,false,38,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseCoarseGrainedTest.java,br.ufmg.engsoft.reprova.tests.model.CourseCoarseGrainedTest,testCreateWithScore_CoarseGrained/0,false,18,3,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,1,3,1,0,0,0,0,0,11,0,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/model/CourseCoarseGrainedTest.java,br.ufmg.engsoft.reprova.tests.model.CourseCoarseGrainedTest,testCreateWithStudents_CoarseGrained/0,false,26,3,1,0,1,1,3,7,0,4,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,1,14,0,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonCoarseGrainedTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonCoarseGrainedTest,testCourseSerialization_CoarseGrained/0,false,42,6,4,0,4,1,5,7,0,3,0,5,0,0,0,0,0,0,1,2,3,0,0,0,0,0,20,0,0,true
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/mime/json/JsonCoarseGrainedTest.java,br.ufmg.engsoft.reprova.tests.mime.json.JsonCoarseGrainedTest,testQuestionSerialization_CoarseGrained/0,false,18,7,12,0,12,1,13,10,0,6,0,13,0,0,0,0,0,0,7,6,6,0,0,0,0,0,28,0,0,true
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,test_retrieval/0,false,41,5,5,0,5,1,6,9,0,2,0,6,0,0,0,0,0,0,1,2,2,0,0,0,0,0,9,0,0,false
/src/2022-02/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,test_insertion/0,false,34,4,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,4,0,0,false
