file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/src/01-command/src/java/br/ufmg/engsoft/reprova/routes/command/DeleteCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.DeleteCourseCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",false,20,5,2,0,2,1,2,5,1,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/routes/command/DeleteCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.DeleteCourseCommand,getCourseFromRequest/1[br.ufmg.engsoft.reprova.routes.command.Request],false,25,6,4,1,3,1,8,12,1,9,1,8,0,0,0,0,0,0,3,0,9,0,0,0,0,0,17,2,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/routes/command/DeleteCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.DeleteCourseCommand,DeleteCourseCommand/1[br.ufmg.engsoft.reprova.database.CourseDAO],true,16,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,delete/1[br.ufmg.engsoft.reprova.model.Course],false,67,2,1,0,1,3,5,9,1,1,1,5,1,1,0,1,0,0,7,0,1,2,1,0,0,0,11,1,2,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,"CoarseGrainedCourseDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",true,25,2,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/src/01-command/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,add/1[br.ufmg.engsoft.reprova.model.Course],false,39,5,3,2,1,2,6,8,0,1,1,6,1,1,0,1,0,2,11,0,1,1,1,0,0,0,16,1,1,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,verifyand/1[br.ufmg.engsoft.reprova.model.Course],false,30,1,3,3,0,1,2,3,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,false
/src/01-command/src/java/br/ufmg/engsoft/reprova/database/CoarseGrainedCourseDAO.java,br.ufmg.engsoft.reprova.database.CoarseGrainedCourseDAO,get/1[br.ufmg.engsoft.reprova.model.Course],false,55,5,4,1,3,2,8,7,1,1,1,8,1,1,0,1,0,0,5,0,1,0,1,0,0,0,13,1,0,false
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,test_retrieval/0,false,55,6,6,0,6,1,6,10,0,3,0,6,0,0,0,0,0,0,1,2,3,0,0,0,0,0,9,0,0,false
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,setup/0,false,29,4,3,0,3,2,1,12,0,0,0,1,0,0,0,0,1,0,3,0,4,0,1,0,0,0,19,9,2,false
/src/01-command/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,assumeConnection/0,false,43,1,0,0,0,2,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,false
