file,class,method,variable,usage
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,get/1[java.lang.String],collection,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,"list/2[java.lang.String,java.lang.Boolean]",collection,2
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,add/1[br.ufmg.engsoft.reprova.model.Question],logger,2
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,add/1[br.ufmg.engsoft.reprova.model.Question],collection,2
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,remove/1[java.lang.String],logger,2
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,remove/1[java.lang.String],collection,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,"QuestionsDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",json,5
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/database/QuestionsDAO.java,br.ufmg.engsoft.reprova.database.QuestionsDAO,"QuestionsDAO/2[br.ufmg.engsoft.reprova.database.Mongo,br.ufmg.engsoft.reprova.mime.json.Json]",collection,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,statement/1[java.lang.String],statement,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,courses/1[java.util.List<br.ufmg.engsoft.reprova.model.Course>],courses,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,id/1[java.lang.String],id,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,isPrivate/1[boolean],isPrivate,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,description/1[java.lang.String],description,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,theme/1[java.lang.String],theme,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,courses,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,statement,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,description,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,theme,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,id,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question$Builder,build/0,isPrivate,1
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/repository/UserRepository.java,br.ufmg.engsoft.repository.UserRepository,UserRepository/0,entityManagerFactory,2
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/repository/UserRepository.java,br.ufmg.engsoft.repository.UserRepository,UserRepository/0,entityManager,1
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/repository/UserRepository.java,br.ufmg.engsoft.repository.UserRepository,"findByUsernameAndPassword/2[java.lang.String,java.lang.String]",entityManager,1
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/repository/UserRepository.java,br.ufmg.engsoft.repository.UserRepository,"isUserFromType/2[java.lang.String,java.lang.String]",entityManager,1
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/repository/UserRepository.java,br.ufmg.engsoft.repository.UserRepository,close/0,entityManagerFactory,1
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/repository/UserRepository.java,br.ufmg.engsoft.repository.UserRepository,close/0,entityManager,1
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/repository/UserRepository.java,br.ufmg.engsoft.repository.UserRepository,add/1[br.ufmg.engsoft.models.User],entityManager,3
